,error_abs,error_abs,error_max,error_max
metodo,GS,J,GS,J
test,,,,
test_15_segundos,6.418450889010704e-07,1.4510238718997432e-06,4.992088999990207e-09,9.758497200086126e-09
test_30_segundos,7.541039049994725e-07,7.541034039014162e-07,4.998450000258392e-10,4.998360000093953e-10
test_aleatorio,6.176085730336123e-07,6.176085730336123e-07,2.5181598101164937e-07,2.5181598101164937e-07
test_aleatorio_desordenado,6.176085730336123e-07,6.176085730336123e-07,2.5181598101164937e-07,2.5181598101164937e-07
test_completo,0.0,0.0,0.0,0.0
test_sin_links,0.0,0.0,0.0,0.0
test_trivial,0.0,0.0,0.0,0.0
